station_id,n_years,days_below_trend,days_below_p,days_below_sen,nm7q_trend,nm7q_p,nm7q_sen,min_year,days_below_p_fdr,nm7q_p_fdr
DESM_DEBY12402007,34,no trend,0.07477247932442421,0.6153846153846154,decreasing,0.0105707340667196,-0.0060571428571428365,2016,0.11138307086086428,0.02401831348071099
DESM_DEBY13206004,34,no trend,0.06985553296057456,0.21428571428571427,no trend,0.05276960196901781,-0.02294642857142859,2022,0.10581492123563825,0.08236646568207563
DESM_DEBY13322005,34,increasing,1.2361644734504296e-6,2.8636363636363638,decreasing,0.00027138394101489105,-0.02214285714285716,2020,0.00010090401443341168,0.002117974670094476
DESM_DEBY13465002,34,increasing,0.0001469717914077684,2.5454545454545454,decreasing,0.0003059631705921717,-0.009085714285714187,2022,0.000942194162774801,0.002196815564851793
DESM_DEBY14002305,34,increasing,0.00018834763162978163,2.225806451612903,decreasing,0.0027859259012594784,-0.09280000000000001,2022,0.001146047453476129,0.009347171949085539
DESM_DEBY14101205,34,increasing,0.0105707340667196,1.2222222222222223,decreasing,0.00554568623017393,-0.023311688311688325,2019,0.022063334476467075,0.015676388634901107
DESM_DEBY14209008,34,increasing,0.04563224527431986,0.76,decreasing,0.017757070483344295,-0.020660714285714282,2025,0.07379268492558932,0.034645588606090225
DESM_DEBY14608003,34,increasing,0.0009657811726462295,0.6666666666666666,decreasing,0.001339669632830276,-0.036357142857142845,1998,0.003537912663061188,0.0055280620481157365
DESM_DEBY15202300,34,increasing,0.024659856023290683,0.6,decreasing,0.022745729765423883,-0.0782539682539684,2015,0.04339651133510468,0.04320485177665172
DESM_DEBY15993001,34,no trend,0.8641908480949905,0.0,no trend,0.9382480146046128,0.00034285714285714334,1994,0.89975313115111,0.9408688191146816
DESM_DEBY16404900,34,no trend,0.8385962452475766,0.0,no trend,0.7684569726000503,0.005488721804511361,1992,0.8880709499819468,0.8186233031555432
DESM_DEBY16607001,34,increasing,0.0027859259012594784,0.8333333333333334,decreasing,0.008830286276187538,-0.25396825396825423,2022,0.007875176366552383,0.021862570849319488
DESM_DEBY16612001,34,no trend,0.8517152023638499,0.0,no trend,0.7922384250904912,0.0061904761904761785,2006,0.8971335331820702,0.8365105723749598
DESM_DEBY16825002,34,no trend,0.3471046076125148,0.0,decreasing,0.04563224527431986,-0.003087301587301595,1992,0.41261772891686366,0.07379268492558932
DESM_DEBY17207508,34,increasing,1.4996218644647286e-7,3.761904761904762,decreasing,2.474259044316085e-7,-0.11499999999999999,2022,0.000026918212467141878,0.000029608633230315817
DESM_DEBY17404000,33,increasing,0.0019526409550858492,1.4494949494949494,decreasing,0.00010630450788085,-0.03316666666666668,2019,0.006043087093757067,0.0011564641917947015
DESM_DEBY17464001,34,increasing,0.0004898560790442819,1.5714285714285714,decreasing,0.001491385293904468,-0.027792207792207965,2019,0.0021982291547112147,0.005948970227907822
DESM_DEBY18003004,34,no trend,0.8890947898386434,0.0,no trend,0.8162147751081346,-0.0892857142857153,2016,0.9171983607818189,0.8567868545725741
DESM_DEBY18263005,34,no trend,0.09124032355472544,0.391304347826087,decreasing,0.008830286276187538,-0.009211822660098514,2023,0.12998125458788268,0.021862570849319488
DESM_DEBY18384509,34,increasing,5.629081329283636e-6,2.1666666666666665,decreasing,2.668584982989941e-6,-0.048503401360544304,2022,0.00015597968468531083,0.0001596703348155648
DESM_DEBY18454003,34,no trend,0.3771382028423258,-0.037037037037037035,no trend,0.19843040968125814,0.042857142857142705,2003,0.44391021252588514,0.2535107369237426
DESM_DEBY18483500,34,no trend,0.9752536927590956,0.0,no trend,0.6756918645043961,0.007285714285714384,2018,0.9890425324178164,0.730642708906862
DESM_DEBY18606000,34,no trend,0.8890947898386434,-0.07142857142857142,no trend,0.4856472470963893,0.17321428571428577,1996,0.9171983607818189,0.5552463748649802
DESM_DEBY18642003,34,no trend,0.545656108406517,0.21428571428571427,no trend,0.9382480146046128,-0.0169841269841271,2023,0.6140769370468326,0.9408688191146816
DESM_DEBY18803805,34,increasing,1.6864180685249863e-6,3.0555555555555554,decreasing,1.266733158367117e-7,-0.03498095238095241,2018,0.00010090401443341168,0.000029608633230315817
DESM_DEBY21643004,34,no trend,0.9752675667852562,0.0,no trend,0.5052450905766701,-0.0018273809523809276,2022,0.9890425324178164,0.5739967959399512
DESM_DEBY24010004,34,increasing,0.014989907887239973,1.3043478260869565,decreasing,0.002270198884772201,-0.13857142857142862,2019,0.02956800511823709,0.007688692449370002
DESM_DEBY24118703,34,no trend,0.07996854080618054,0.6,no trend,0.05276960196901781,-0.0035357142857142857,2019,0.11765863175991317,0.08236646568207563
DESM_DEBY24128004,34,increasing,0.008830286276187538,1.1428571428571428,decreasing,0.012609903210569762,-0.003914285714285715,2022,0.01909682393464654,0.027107516482602064
DESM_DEBY24146505,34,no trend,0.13284986695974976,0.6470588235294118,no trend,0.11759799116041258,-0.003000000000000038,2003,0.18134259406292838,0.16427112383886427
DESM_DEBY24167006,34,no trend,0.4110430150310149,0.0,no trend,0.17765391067092295,-0.0036428571428571885,2025,0.47755482976095265,0.22859410011061412
DESM_DEBY24217603,34,increasing,0.01928436099168951,0.0,decreasing,0.01632203135091892,-0.0022040816326530615,1993,0.035534542624728105,0.03255338474988829
DESM_DEBY24218504,33,no trend,0.12342316732733916,0.2727272727272727,no trend,0.14894602437860582,-0.0004320500927643789,2020,0.16911800408593416,0.19963900015044259
DESM_DEBY24224008,34,no trend,0.2573303994880316,0.0,no trend,0.12504272739262112,-0.010935960591132991,2020,0.32414601198667836,0.17199363652854782
DESM_DEBY24236007,34,increasing,0.0037620349686691146,2.2857142857142856,decreasing,0.0009657811726462295,-0.001571428571428579,2025,0.01000422632409046,0.004492906661433554
DESM_DEBY24262007,34,increasing,0.0030820588888631484,0.7777777777777778,decreasing,0.009665641902533384,-0.014285714285714235,2018,0.008511224162322079,0.022828720019799242
DESM_DEBY24349003,34,no trend,0.3289911279552147,-0.09090909090909091,no trend,0.22093012126147427,0.0011005291005291033,1998,0.40036547435905784,0.2773213759890534
DESM_DEBY24409003,34,increasing,0.01632203135091892,0.875,decreasing,0.008830286276187538,-0.035714285714285705,1992,0.03100322357132218,0.021862570849319488
DESM_DEBY24601000,34,increasing,0.000026811308542429302,2.4838709677419355,decreasing,0.0008644178493009136,-0.003377142857142858,2022,0.00030078936771037873,0.004251041204096273
DESM_DEBY24722005,34,no trend,0.06081694918575553,0.15384615384615385,no trend,0.23284204679391474,-0.002920000000000038,1993,0.09370508479693664,0.2892397743910567
DESM_DEBY24758002,33,no trend,0.6714875959554205,0.0,no trend,0.8330324989520455,-0.0003449572206378076,2022,0.7371989203302628,0.8718911577952896
DESM_DEBY53216954,34,no trend,0.08263767002825073,0.16666666666666666,no trend,0.07996854080618054,-0.0017894736842105257,2015,0.12108948383731434,0.11961960895591173
DESM_DEBY56122008,34,increasing,0.006097139917784489,1.875,decreasing,0.0010780589400980478,-0.003135714285714286,2019,0.014400481779504155,0.004778063697471595
DESM_DEHE23940359,32,increasing,0.012460257501851757,1.1428571428571428,decreasing,0.0007646309234956572,-0.002037566137566137,2019,0.025272499678897067,0.003964364240388038
DESM_DEHE24761005,34,increasing,0.0105707340667196,0.9583333333333334,decreasing,0.011550443264152666,-0.0013296703296703303,2022,0.022063334476467075,0.025439319827182866
DESM_DEHE24780757,34,increasing,0.011550443264152666,1.3076923076923077,no trend,0.07477247932442421,-0.002899999999999997,2015,0.023560279158129582,0.11278705914902644
DESM_DEHE24840407,34,increasing,0.000011602905626295623,2.46875,decreasing,0.001339669632830276,-0.0019314285714285818,2022,0.0001811062226017447,0.0055280620481157365
